单词,音标,释义,词根
province,/'prɒvɪns/,n. 省；领域；职权,-vinc- = -vict-
province-wide,/ˈprɒvɪnsˌwaɪd/,adj. 全省的 adv. 全省地,-vinc- = -vict-
provincial,/prə'vɪnʃ(ə)l/,adj. 省的；地方性的 n. 乡下人；外地人,-vinc- = -vict-
provincially,/prəu'vinʃəli/,adv. 以地方；偏狭地,-vinc- = -vict-
provinciality,"/prəʊ,vɪnʃɪ'ælətɪ/",n. 乡下习气；粗鄙，偏狭；地方特色,-vinc- = -vict-
provincialism,/prə'vɪnʃ(ə)lɪz(ə)m/,n. 方言；地方风格；乡下习气,-vinc- = -vict-
victor,/'vɪktə/,n. 胜利者,-vinc- = -vict-
victory,/'vɪkt(ə)rɪ/,n. 胜利；成功；克服,-vinc- = -vict-
victorious,/vɪk'tɔːrɪəs/,adj. 胜利的；凯旋的,-vinc- = -vict-
victoriously,/vɪk'tɔriəsli/,adv. 获胜地；凯旋归来地,-vinc- = -vict-
Victorian,/vik'tɔ:riən/,adj. 维多利亚女王时代的 n. 维多利亚时代,-vinc- = -vict-
Victorian-era,/vik'tɔ:riən-'ɪərə/,n. 维多利亚时代,-vinc- = -vict-
Victorian-style,/vik'tɔ:riən-staɪl/,n. 维多利亚风格,-vinc- = -vict-
late-Victorian,/[leɪt-vik'tɔ:riən/,adj. 维多利亚晚期,-vinc- = -vict-
neo-Victorian,/'ni:əu-vik'tɔ:riən/,adj. 新维多利亚的,-vinc- = -vict-
victim,/'vɪktɪm/,n. 受害者,-vinc- = -vict-
victimless,/'vɪktɪmlɪs/,adj. 不侵害他人的，无受害人的（犯罪行为等）,-vinc- = -vict-
victimize,/'vɪktɪmaɪz/,vt. 使受害；使牺牲；欺骗,-vinc- = -vict-
victimized,/'vɪktɪmaɪz/,vt. 使受害；使牺牲；欺骗,-vinc- = -vict-
victimization,"/,vɪktɪmɪ'zeʃən/",n. 牺牲；欺骗,-vinc- = -vict-
victimizer,/'vɪktɪmaɪzə/,n. 施害者,-vinc- = -vict-
convince,/kən'vɪns/,vt. 说服；使确信,-vinc- = -vict-
